Dataset name,Dataset name in English,Field name in dataset,Field name in Mongolian,Field name in English
uruunii-medeelel,rooms,uruunii_khuviin_dugaar,өрөөний хувийн дугаар,private room number
,,khicheeliin_bair,хичээлийн байр,classroom
,,uruunii_dugaar,өрөөний дугаар,room no
,,khariyaalakh_surguuliin_dugaar,харьяалах сургуулийн дугаар,No. of the affiliated school
,,khariyaalakh_surguuliin_ner,харьяалах сургуулийн нэр,name of affiliated school
,,uruunii_zoriulalt,өрөөний зориулалт,purpose of the room
,,talbain_khemjee,талбайн хэмжээ,area size
,,khicheeliin_khuvaari_tavikh_bolomj,хичээлийн хуваарь тавих боломж,Ability to schedule lessons
,,suudlyn_too,суудлын тоо,number of seats
,,proyektortoi_esekh,проектортой эсэх,whether it has a projector or not
,,organization_uri,,
,,building_id,,
bagsh-ajilchidiin-ners,staffs,khariyaalakh_buttsiin_negjiin_dugaar,харьяалах бүтцийн нэгжийн дугаар,the structural unit number to which it belongs
,,khariyaalakh_buttsiin_negjiin_ner,харьяалах бүтцийн нэгжийн нэр,the name of the structural unit to which it belongs
,,bagsh_ajiltny_khuviin_dugaar,багш ажилтны хувийн дугаар,teacher's personal number
,,bagsh_ajiltny_ovog,багш ажилтны овог,teacher's last name
,,bagsh_ajiltny_ner,багш ажилтны нэр,teacher's name
,,alban_tushaal,албан тушаал,position
,,tuluv,төлөв,State
,,ezemshsen_bolovsrol,эзэмшсэн боловсрол,acquired education
,,imeil_khayag,и-мэйл хаяг,e-mail address
,,alban_uruunii_khayag,албан өрөөний хаяг,office address
,,alban_uruunii_dugaar,албан өрөөний дугаар,office no
,,organization_uri,,
,,person_uri,,
,,room_id,,
,,role_id,,
,,full_name,,
,,formatted_name,,
,,tuluv_id,,
,,bolovsrol_id,,
,,affiliation_id,,
baiguullagiin-butets,organizational_chart,buttsiin_negjiin_dugaar,бүтцийн нэгжийн дугаар,structural unit number
,,buttsiin_khariyaalagdakh_negjiin_dugaar,бүтцийн харьяалах нэгжийн дугаар,structural unit number
,,buttsiin_negjiin_ner,бүтцийн нэгжийн нэр,structural unit name
,,buttsiin_khariyaalagdakh_negjiin_ner,бүтцийн харьяалах нэгжийн нэр,the name of the unit to which the structure belongs
,,organization_name,,
course,courses,khicheeliin_dugaar,хичээлийн дугаар,course no
,,khicheeliin_indyeks,хичээлийн индекс,subject index
